date,Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
1895-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-11,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-11,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1895-12,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1895-12,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1895-12,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1895-12,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1895-12,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-11,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-11,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1896-12,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1896-12,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1896-12,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1896-12,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1896-12,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-11,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-11,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1897-12,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1897-12,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1897-12,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1897-12,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1897-12,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-11,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-11,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1898-12,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1898-12,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1898-12,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1898-12,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1898-12,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-11,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-11,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1899-12,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1899-12,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1899-12,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1899-12,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1899-12,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-01,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-01,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-01,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-01,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-01,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-02,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-02,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-02,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-02,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-02,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-03,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-03,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-03,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-03,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-03,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-04,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-04,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-04,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-04,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-04,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-05,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-05,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-05,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-05,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-05,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-06,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-06,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-06,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-06,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-06,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-07,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-07,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-07,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-07,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-07,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-08,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-08,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-08,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-08,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-08,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-09,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-09,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-09,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-09,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-09,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-10,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-10,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-10,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
1900-10,KSAT,SAN ANTONIO,-98.4636,29.5328,246,ASOS,4706
1900-10,KSKF,KELLY AFB,-98.58,29.38,210,ASOS,4768
1900-11,KATT,AUSTIN CITY,-97.7,30.3,189,ASOS,2768
1900-11,KBSM,AUSTIN-BERGS,-97.67,30.1944,165,ASOS,2909
1900-11,KRND,RANDOLPH AFB,-98.28,29.53,232,ASOS,4635
